iter	Logloss
0	0.5923915213
1	0.5255835322
2	0.4683284358
3	0.4285890328
4	0.4034361026
5	0.3830683453
6	0.3689587983
7	0.3584115982
8	0.3493476983
9	0.3423286706
10	0.3377885496
11	0.3341427716
12	0.3296149902
13	0.3276860884
14	0.3244185126
15	0.3225461206
16	0.3208690982
17	0.3190989127
18	0.317498679
19	0.3160239572
20	0.3144623275
21	0.312951657
22	0.3116308395
23	0.3103767035
24	0.3089525371
25	0.3080639678
26	0.307381326
27	0.3067341312
28	0.3060654276
29	0.305401983
30	0.304124758
31	0.3035058267
32	0.3028343236
33	0.3024554654
34	0.3018631768
35	0.3009480266
36	0.3006233189
37	0.3001437937
38	0.2994379805
39	0.298886181
40	0.2983647839
41	0.2980886031
42	0.2974918349
43	0.2972061426
44	0.2968416817
45	0.2965139964
46	0.2962245307
47	0.2959465914
48	0.2957563762
49	0.2954560695
50	0.2945278781
51	0.2942970031
52	0.2941651896
53	0.2938925241
54	0.2935378133
55	0.2933116123
56	0.2931162978
57	0.2929070881
58	0.2926041067
59	0.2924164382
60	0.2918317791
61	0.2916689305
62	0.2914618205
63	0.2913247113
64	0.2911872285
65	0.29102028
66	0.2908705801
67	0.2907632134
68	0.2906119999
69	0.290419912
70	0.2903173538
71	0.2901217471
72	0.2898889314
73	0.2895267891
74	0.2893880863
75	0.2892505349
76	0.2891712184
77	0.2885808794
78	0.2881565387
79	0.2876674911
80	0.2874938956
81	0.2866686194
82	0.2864708114
83	0.2863120266
84	0.2861709021
85	0.2858592294
86	0.2856171471
87	0.2849619779
88	0.2848209849
89	0.284693471
90	0.284613898
91	0.2845116107
92	0.2843269012
93	0.2839475911
94	0.2839362386
95	0.2838201861
96	0.2833917439
97	0.2827898295
98	0.2826699152
99	0.2822034746
