iter	Passed	Remaining
0	7	788
1	15	749
2	23	760
3	32	787
4	40	768
5	47	750
6	56	751
7	65	751
8	73	738
9	80	723
10	89	722
11	97	715
12	105	702
13	112	690
14	121	689
15	129	681
16	136	667
17	144	658
18	153	656
19	162	650
20	170	643
21	178	633
22	187	628
23	194	616
24	204	612
25	212	603
26	222	600
27	232	596
28	240	589
29	250	583
30	259	578
31	267	567
32	275	559
33	282	548
34	291	541
35	299	533
36	308	525
37	317	517
38	326	510
39	334	502
40	342	493
41	352	486
42	360	478
43	369	470
44	376	460
45	387	455
46	396	446
47	404	438
48	412	428
49	422	422
50	430	413
51	441	407
52	450	399
53	458	390
54	467	382
55	475	373
56	484	365
57	493	357
58	502	348
59	510	340
60	518	331
61	527	323
62	536	315
63	546	307
64	553	298
65	560	288
66	567	279
67	575	270
68	582	261
69	589	252
70	595	243
71	602	234
72	609	225
73	616	216
74	625	208
75	632	199
76	641	191
77	649	183
78	656	174
79	664	166
80	671	157
81	678	148
82	685	140
83	691	131
84	699	123
85	706	114
86	712	106
87	719	98
88	727	89
89	734	81
90	743	73
91	749	65
92	757	57
93	765	48
94	769	40
95	776	32
96	782	24
97	789	16
98	796	8
99	802	0
